event_type,start_time,start_price,end_time,end_price,duration,length,speed,theta,num
-1,1.13623E+12,0.687600017,1.13887E+12,0.67869997,264216,0.012943639,4.90E-08,1.5,1
0,1.13887E+12,0.67869997,1.14199E+12,0.68900001,311532,0.015176132,4.87E-08,1.5,2
1,1.14199E+12,0.68900001,1.14423E+12,0.702400029,224046,0.019448502,8.68E-08,1.5,3
0,1.14423E+12,0.702400029,1.14482E+12,0.691999972,59016,0.014806458,2.51E-07,1.5,4
-1,1.14482E+12,0.691999972,1.14787E+12,0.675700009,305202,0.023554861,7.72E-08,1.5,5
0,1.14787E+12,0.675700009,1.14863E+12,0.685899973,76170,0.015095403,1.98E-07,1.5,6
1,1.14863E+12,0.685899973,1.1522E+12,0.69630003,357240,0.015162644,4.24E-08,1.5,7
0,1.1522E+12,0.69630003,1.1532E+12,0.685899973,99354,0.014936172,1.50E-07,1.5,8
-1,1.1532E+12,0.685899973,1.15504E+12,0.672299981,184746,0.019827952,1.07E-07,1.5,9
0,1.15504E+12,0.672299981,1.1561E+12,0.682600021,106134,0.015320602,1.44E-07,1.5,10
1,1.1561E+12,0.682600021,1.15611E+12,0.682900012,48,4.39E-04,9.16E-06,1.5,11
0,1.15611E+12,0.682900012,1.15702E+12,0.672699988,91302,0.014936335,1.64E-07,1.5,12
-1,1.15702E+12,0.672699988,1.15926E+12,0.66869998,224358,0.005946199,2.65E-08,1.5,13
0,1.15926E+12,0.66869998,1.15952E+12,0.678900003,25878,0.015253513,5.89E-07,1.5,14
1,1.15952E+12,0.678900003,1.15952E+12,0.67930001,24,5.89E-04,2.45E-05,1.5,15
0,1.15952E+12,0.67930001,1.16219E+12,0.669200003,267312,0.014868257,5.56E-08,1.5,16
-1,1.16219E+12,0.669200003,1.16227E+12,0.667299986,7176,0.002839237,3.96E-07,1.5,17
0,1.16227E+12,0.667299986,1.16357E+12,0.677399993,129930,0.015135632,1.16E-07,1.5,18
1,1.16357E+12,0.677399993,1.16365E+12,0.6796,8292,0.003247723,3.92E-07,1.5,19
0,1.16365E+12,0.6796,1.1684E+12,0.669399977,475128,0.015008864,3.16E-08,1.5,20
-1,1.1684E+12,0.669399977,1.1695E+12,0.653800011,110298,0.023304402,2.11E-07,1.5,21
0,1.1695E+12,0.653800011,1.17023E+12,0.663699985,72690,0.015142205,2.08E-07,1.5,22
1,1.17023E+12,0.663699985,1.17424E+12,0.686999977,401238,0.035106212,8.75E-08,1.5,23
0,1.17424E+12,0.686999977,1.17487E+12,0.676699996,62784,0.014992694,2.39E-07,1.5,24
-1,1.17487E+12,0.676699996,1.17556E+12,0.675100029,69336,0.002364368,3.41E-08,1.5,25
0,1.17556E+12,0.675100029,1.1792E+12,0.685400009,363912,0.01525697,4.19E-08,1.5,26
1,1.1792E+12,0.685400009,1.1793E+12,0.685899973,9540,7.29E-04,7.65E-08,1.5,27
0,1.1793E+12,0.685899973,1.18164E+12,0.675599992,233970,0.015016739,6.42E-08,1.5,28
-1,1.18164E+12,0.675599992,1.18539E+12,0.668099999,375306,0.011101233,2.96E-08,1.5,29
0,1.18539E+12,0.668099999,1.18637E+12,0.67809999,98406,0.014967805,1.52E-07,1.5,30
1,1.18637E+12,0.67809999,1.19079E+12,0.702899992,441090,0.036572781,8.29E-08,1.5,31
0,1.19079E+12,0.702899992,1.19148E+12,0.692399979,69876,0.014938133,2.14E-07,1.5,32
-1,1.19148E+12,0.692399979,1.19188E+12,0.689499974,39972,0.004188337,1.05E-07,1.5,33
0,1.19188E+12,0.689499974,1.19216E+12,0.699999988,27198,0.015228447,5.60E-07,1.5,34
1,1.19216E+12,0.699999988,1.19564E+12,0.721599996,348714,0.030857155,8.85E-08,1.5,35
0,1.19564E+12,0.721599996,1.19666E+12,0.710900009,101532,0.014828142,1.46E-07,1.5,36
-1,1.19666E+12,0.710900009,1.19668E+12,0.709100008,2172,0.002532003,1.17E-06,1.5,37
0,1.19668E+12,0.709100008,1.19683E+12,0.719799995,14706,0.015089532,1.03E-06,1.5,38
1,1.19683E+12,0.719799995,1.19686E+12,0.72420001,3282,0.00611283,1.86E-06,1.5,39
0,1.19686E+12,0.72420001,1.19787E+12,0.713400006,100776,0.014913013,1.48E-07,1.5,40
-1,1.19787E+12,0.713400006,1.1979E+12,0.711499989,2862,0.002663327,9.31E-07,1.5,41
0,1.1979E+12,0.711499989,1.19814E+12,0.722199976,24816,0.015038633,6.06E-07,1.5,42
1,1.19814E+12,0.722199976,1.20036E+12,0.761399984,221922,0.054278606,2.45E-07,1.5,43
0,1.20036E+12,0.761399984,1.20048E+12,0.749899983,11700,0.015103758,1.29E-06,1.5,44
-1,1.20048E+12,0.749899983,1.20146E+12,0.739400029,97956,0.014001806,1.43E-07,1.5,45
0,1.20146E+12,0.739400029,1.20185E+12,0.750400007,39150,0.014876896,3.80E-07,1.5,46
1,1.20185E+12,0.750400007,1.20187E+12,0.754700005,1554,0.005730275,3.69E-06,1.5,47
0,1.20187E+12,0.754700005,1.20244E+12,0.743300021,57432,0.015105319,2.63E-07,1.5,48
-1,1.20244E+12,0.743300021,1.20296E+12,0.740700006,51516,0.003497934,6.79E-08,1.5,49
0,1.20296E+12,0.740700006,1.2033E+12,0.751800001,34674,0.014985816,4.32E-07,1.5,50
1,1.2033E+12,0.751800001,1.20571E+12,0.791100025,240318,0.052274574,2.18E-07,1.5,51
0,1.20571E+12,0.791100025,1.20585E+12,0.779299974,14022,0.014916003,1.06E-06,1.5,52
-1,1.20585E+12,0.779299974,1.20586E+12,0.777199984,1740,0.002694714,1.55E-06,1.5,53
0,1.20586E+12,0.777199984,1.20592E+12,0.788900018,5910,0.015054084,2.55E-06,1.5,54
1,1.20592E+12,0.788900018,1.20593E+12,0.789499998,210,7.61E-04,3.62E-06,1.5,55
0,1.20593E+12,0.789499998,1.20601E+12,0.777700007,8220,0.014946157,1.82E-06,1.5,56
