event_type,start_time,start_price,end_time,end_price,duration,length,speed,theta,num
-1,1.13623E+12,0.687600017,1.13714E+12,0.681200027,91560,0.009307721,1.02E-07,1,1
0,1.13714E+12,0.681200027,1.13764E+12,0.688000023,49566,0.009982378,2.01E-07,1,2
1,1.13764E+12,0.688000023,1.13799E+12,0.689400017,35514,0.002034875,5.73E-08,1,3
0,1.13799E+12,0.689400017,1.13868E+12,0.682399988,68706,0.010153799,1.48E-07,1,4
-1,1.13868E+12,0.682399988,1.13887E+12,0.67869997,18870,0.005422066,2.87E-07,1,5
0,1.13887E+12,0.67869997,1.13923E+12,0.685500026,35658,0.010019236,2.81E-07,1,6
1,1.13923E+12,0.685500026,1.13946E+12,0.688799977,23244,0.004813934,2.07E-07,1,7
0,1.13946E+12,0.688799977,1.14051E+12,0.681800008,105042,0.010162558,9.67E-08,1,8
-1,1.14051E+12,0.681800008,1.14112E+12,0.679499984,60504,0.003373459,5.58E-08,1,9
0,1.14112E+12,0.679499984,1.1413E+12,0.68629998,18102,0.010007353,5.53E-07,1,10
1,1.1413E+12,0.68629998,1.1426E+12,0.695100009,130176,0.012822425,9.85E-08,1,11
0,1.1426E+12,0.695100009,1.14344E+12,0.688199997,84636,0.009926647,1.17E-07,1,12
-1,1.14344E+12,0.688199997,1.14349E+12,0.687099993,4200,0.001598378,3.81E-07,1,13
0,1.14349E+12,0.687099993,1.14368E+12,0.694100022,19668,0.010187788,5.18E-07,1,14
1,1.14368E+12,0.694100022,1.14423E+12,0.702400029,54348,0.01195794,2.20E-07,1,15
0,1.14423E+12,0.702400029,1.14441E+12,0.6954,18228,0.009965872,5.47E-07,1,16
-1,1.14441E+12,0.6954,1.14544E+12,0.689300001,102708,0.008771928,8.54E-08,1,17
0,1.14544E+12,0.689300001,1.14602E+12,0.696099997,58680,0.009865075,1.68E-07,1,18
1,1.14602E+12,0.696099997,1.14608E+12,0.698400021,6048,0.003304158,5.46E-07,1,19
0,1.14608E+12,0.698400021,1.14646E+12,0.691500008,37602,0.009879743,2.63E-07,1,20
-1,1.14646E+12,0.691500008,1.14787E+12,0.675700009,140952,0.022848878,1.62E-07,1,21
0,1.14787E+12,0.675700009,1.14833E+12,0.682500005,46062,0.010063632,2.18E-07,1,22
1,1.14833E+12,0.682500005,1.14974E+12,0.691299975,140826,0.012893729,9.16E-08,1,23
0,1.14974E+12,0.691299975,1.15008E+12,0.684400022,34464,0.009981127,2.90E-07,1,24
-1,1.15008E+12,0.684400022,1.1507E+12,0.681299984,61674,0.00452957,7.34E-08,1,25
0,1.1507E+12,0.681299984,1.15096E+12,0.68809998,26298,0.009980913,3.80E-07,1,26
1,1.15096E+12,0.68809998,1.1522E+12,0.69630003,124086,0.011916945,9.60E-08,1,27
0,1.1522E+12,0.69630003,1.15278E+12,0.689400017,57588,0.009909539,1.72E-07,1,28
-1,1.15278E+12,0.689400017,1.15504E+12,0.672299981,226512,0.024804229,1.10E-07,1,29
0,1.15504E+12,0.672299981,1.1558E+12,0.679099977,75276,0.010114526,1.34E-07,1,30
1,1.1558E+12,0.679099977,1.15611E+12,0.682900012,30906,0.005595692,1.81E-07,1,31
0,1.15611E+12,0.682900012,1.15632E+12,0.675899982,21936,0.010250445,4.67E-07,1,32
-1,1.15632E+12,0.675899982,1.15703E+12,0.672299981,70434,0.005326234,7.56E-08,1,33
0,1.15703E+12,0.672299981,1.15752E+12,0.679099977,48948,0.010114526,2.07E-07,1,34
1,1.15752E+12,0.679099977,1.15797E+12,0.681999981,45210,0.004270364,9.45E-08,1,35
0,1.15797E+12,0.681999981,1.1582E+12,0.675000012,22974,0.010263885,4.47E-07,1,36
-1,1.1582E+12,0.675000012,1.15926E+12,0.66869998,106158,0.009333381,8.79E-08,1,37
0,1.15926E+12,0.66869998,1.15941E+12,0.675400019,14526,0.010019499,6.90E-07,1,38
1,1.15941E+12,0.675400019,1.15952E+12,0.67930001,11376,0.005774343,5.08E-07,1,39
0,1.15952E+12,0.67930001,1.16012E+12,0.672599971,59880,0.009863151,1.65E-07,1,40
-1,1.16012E+12,0.672599971,1.16227E+12,0.667299986,214608,0.007879848,3.67E-08,1,41
0,1.16227E+12,0.667299986,1.16313E+12,0.674000025,86094,0.01004052,1.17E-07,1,42
1,1.16313E+12,0.674000025,1.16365E+12,0.6796,52128,0.008308569,1.59E-07,1,43
0,1.16365E+12,0.6796,1.16494E+12,0.672500014,128844,0.010447301,8.11E-08,1,44
-1,1.16494E+12,0.672500014,1.16494E+12,0.671999991,6,7.44E-04,1.24E-04,1,45
0,1.16494E+12,0.671999991,1.16557E+12,0.67869997,63084,0.009970207,1.58E-07,1,46
1,1.16557E+12,0.67869997,1.16557E+12,0.678900003,6,2.95E-04,4.91E-05,1,47
0,1.16557E+12,0.678900003,1.16602E+12,0.672100008,45036,0.010016197,2.22E-07,1,48
-1,1.16602E+12,0.672100008,1.16616E+12,0.669499993,13908,0.003868493,2.78E-07,1,49
0,1.16616E+12,0.669499993,1.16782E+12,0.676199973,166170,0.010007437,6.02E-08,1,50
1,1.16782E+12,0.676199973,1.16788E+12,0.676299989,6420,1.48E-04,2.30E-08,1,51
0,1.16788E+12,0.676299989,1.1684E+12,0.66960001,51534,0.009906816,1.92E-07,1,52
-1,1.1684E+12,0.66960001,1.1695E+12,0.653800011,110418,0.023596175,2.14E-07,1,53
0,1.1695E+12,0.653800011,1.16963E+12,0.660399973,12684,0.010094773,7.96E-07,1,54
1,1.16963E+12,0.660399973,1.17024E+12,0.664499998,60942,0.006208396,1.02E-07,1,55
0,1.17024E+12,0.664499998,1.17074E+12,0.657800019,50514,0.010082738,2.00E-07,1,56
-1,1.17074E+12,0.657800019,1.17075E+12,0.657599986,618,3.04E-04,4.92E-07,1,57
0,1.17075E+12,0.657599986,1.17092E+12,0.664200008,17490,0.010036531,5.74E-07,1,58
1,1.17092E+12,0.664200008,1.17304E+12,0.684300005,211092,0.030261965,1.43E-07,1,59
0,1.17304E+12,0.684300005,1.17364E+12,0.677399993,60732,0.010083315,1.66E-07,1,60
-1,1.17364E+12,0.677399993,1.17367E+12,0.677100003,2730,4.43E-04,1.62E-07,1,61
0,1.17367E+12,0.677100003,1.17379E+12,0.684000015,11880,0.010190537,8.58E-07,1,62
1,1.17379E+12,0.684000015,1.17424E+12,0.686999977,45246,0.004385908,9.69E-08,1,63
0,1.17424E+12,0.686999977,1.17437E+12,0.680199981,12822,0.009898102,7.72E-07,1,64
-1,1.17437E+12,0.680199981,1.17556E+12,0.675100029,119298,0.007497725,6.28E-08,1,65
0,1.17556E+12,0.675100029,1.17611E+12,0.681900024,54798,0.010072575,1.84E-07,1,66
1,1.17611E+12,0.681900024,1.17666E+12,0.683099985,54546,0.001759731,3.23E-08,1,67
0,1.17666E+12,0.683099985,1.17679E+12,0.676599979,13134,0.009515453,7.24E-07,1,68
-1,1.17679E+12,0.676599979,1.17687E+12,0.675700009,7938,0.001330137,1.68E-07,1,69
0,1.17687E+12,0.675700009,1.17757E+12,0.682500005,70200,0.010063632,1.43E-07,1,70
1,1.17757E+12,0.682500005,1.1793E+12,0.685899973,172836,0.004981638,2.88E-08,1,71
0,1.1793E+12,0.685899973,1.1799E+12,0.679099977,60108,0.009913976,1.65E-07,1,72
-1,1.1799E+12,0.679099977,1.18308E+12,0.671000004,318168,0.011927512,3.75E-08,1,73
0,1.18308E+12,0.671000004,1.18372E+12,0.6778,64296,0.010134122,1.58E-07,1,74
1,1.18372E+12,0.6778,1.18409E+12,0.679899991,36498,0.003098246,8.49E-08,1,75
0,1.18409E+12,0.679899991,1.18471E+12,0.673099995,62604,0.010001465,1.60E-07,1,76
-1,1.18471E+12,0.673099995,1.18539E+12,0.668099999,67602,0.00742831,1.10E-07,1,77
0,1.18539E+12,0.668099999,1.18574E+12,0.674799979,34482,0.010028408,2.91E-07,1,78
1,1.18574E+12,0.674799979,1.18648E+12,0.681900024,74226,0.010521704,1.42E-07,1,79
0,1.18648E+12,0.681900024,1.18665E+12,0.675100029,17478,0.00997213,5.71E-07,1,80
-1,1.18665E+12,0.675100029,1.18665E+12,0.674600005,6,7.41E-04,1.23E-04,1,81
0,1.18665E+12,0.674600005,1.18735E+12,0.681400001,69864,0.010080041,1.44E-07,1,82
1,1.18735E+12,0.681400001,1.18755E+12,0.682799995,20418,0.002054585,1.01E-07,1,83
0,1.18755E+12,0.682799995,1.18785E+12,0.675999999,29022,0.009958986,3.43E-07,1,84
-1,1.18785E+12,0.675999999,1.18886E+12,0.674000025,101520,0.002958542,2.91E-08,1,85
0,1.18886E+12,0.674000025,1.18943E+12,0.680800021,56610,0.010089014,1.78E-07,1,86
1,1.18943E+12,0.680800021,1.19079E+12,0.702899992,135870,0.032461767,2.39E-07,1,87
0,1.19079E+12,0.702899992,1.1912E+12,0.695900023,41838,0.009958699,2.38E-07,1,88
-1,1.1912E+12,0.695900023,1.19188E+12,0.689499974,68010,0.009196793,1.35E-07,1,89
0,1.19188E+12,0.689499974,1.19207E+12,0.696399987,18372,0.01000727,5.45E-07,1,90
1,1.19207E+12,0.696399987,1.1936E+12,0.702099979,153678,0.00818494,5.33E-08,1,91
0,1.1936E+12,0.702099979,1.19389E+12,0.694999993,28584,0.0101125,3.54E-07,1,92
-1,1.19389E+12,0.694999993,1.19391E+12,0.692200005,1614,0.004028759,2.50E-06,1,93
0,1.19391E+12,0.692200005,1.19438E+12,0.699199975,47844,0.01011264,2.11E-07,1,94
1,1.19438E+12,0.699199975,1.19564E+12,0.721599996,125820,0.032036645,2.55E-07,1,95
0,1.19564E+12,0.721599996,1.19623E+12,0.71420002,58974,0.010254956,1.74E-07,1,96
-1,1.19623E+12,0.71420002,1.19668E+12,0.709100008,44730,0.007140873,1.60E-07,1,97
0,1.19668E+12,0.709100008,1.19677E+12,0.716199994,8556,0.010012672,1.17E-06,1,98
1,1.19677E+12,0.716199994,1.19686E+12,0.72420001,9432,0.011170087,1.18E-06,1,99
0,1.19686E+12,0.72420001,1.19735E+12,0.716799974,49284,0.010218221,2.07E-07,1,100
-1,1.19735E+12,0.716799974,1.1979E+12,0.711499989,54354,0.007393953,1.36E-07,1,101
0,1.1979E+12,0.711499989,1.19806E+12,0.718800008,16620,0.010260041,6.17E-07,1,102
1,1.19806E+12,0.718800008,1.20036E+12,0.761399984,230118,0.059265408,2.58E-07,1,103
0,1.20036E+12,0.761399984,1.20039E+12,0.753700018,3024,0.010112906,3.34E-06,1,104
-1,1.20039E+12,0.753700018,1.20054E+12,0.741699994,15030,0.015921486,1.06E-06,1,105
0,1.20054E+12,0.741699994,1.20065E+12,0.749300003,10164,0.010246743,1.01E-06,1,106
1,1.20065E+12,0.749300003,1.20065E+12,0.749800026,42,6.67E-04,1.59E-05,1,107
0,1.20065E+12,0.749800026,1.20097E+12,0.74150002,32586,0.011069627,3.40E-07,1,108
-1,1.20097E+12,0.74150002,1.20097E+12,0.739899993,36,0.002157825,5.99E-05,1,109
0,1.20097E+12,0.739899993,1.201E+12,0.747200012,2550,0.009866224,3.87E-06,1,110
1,1.201E+12,0.747200012,1.20112E+12,0.749199986,12600,0.002676625,2.12E-07,1,111
0,1.20112E+12,0.749199986,1.20125E+12,0.741400003,12738,0.010411083,8.17E-07,1,112
-1,1.20125E+12,0.741400003,1.20146E+12,0.739400029,20886,0.002697564,1.29E-07,1,113
0,1.20146E+12,0.739400029,1.2017E+12,0.746999979,24414,0.010278536,4.21E-07,1,114
1,1.2017E+12,0.746999979,1.20187E+12,0.754700005,16290,0.010307933,6.33E-07,1,115
0,1.20187E+12,0.754700005,1.20219E+12,0.746900022,31920,0.01033521,3.24E-07,1,116
-1,1.20219E+12,0.746900022,1.20245E+12,0.742699981,26394,0.005623298,2.13E-07,1,117
0,1.20245E+12,0.742699981,1.2027E+12,0.750100017,24912,0.009963695,4.00E-07,1,118
1,1.2027E+12,0.750100017,1.2027E+12,0.750800014,6,9.33E-04,1.56E-04,1,119
0,1.2027E+12,0.750800014,1.20287E+12,0.743300021,17094,0.009989335,5.84E-07,1,120
-1,1.20287E+12,0.743300021,1.20296E+12,0.740700006,8622,0.003497934,4.06E-07,1,121
0,1.20296E+12,0.740700006,1.20305E+12,0.748199999,9624,0.010125547,1.05E-06,1,122
1,1.20305E+12,0.748199999,1.20478E+12,0.769400001,172776,0.028334672,1.64E-07,1,123
