event_type,start_time,start_price,end_time,end_price,duration,length,speed,theta,num
0,1.1375E+12,0.684300005,1.13753E+12,0.68599999,3504,0.002484267,7.09E-07,0.25,54
1,1.13753E+12,0.68599999,1.13758E+12,0.687600017,4416,0.002332401,5.28E-07,0.25,55
0,1.13758E+12,0.687600017,1.13758E+12,0.685899973,180,0.002472431,1.37E-05,0.25,56
-1,1.13758E+12,0.685899973,1.13758E+12,0.685599983,528,4.37E-04,8.28E-07,0.25,57
0,1.13758E+12,0.685599983,1.1376E+12,0.687300026,1218,0.002479644,2.04E-06,0.25,58
1,1.1376E+12,0.687300026,1.13764E+12,0.688899994,4344,0.002327903,5.36E-07,0.25,59
0,1.13764E+12,0.688899994,1.13766E+12,0.687099993,1938,0.002612862,1.35E-06,0.25,60
-1,1.13766E+12,0.687099993,1.13766E+12,0.686500013,156,8.73E-04,5.60E-06,0.25,61
0,1.13766E+12,0.686500013,1.13767E+12,0.688199997,420,0.002476306,5.90E-06,0.25,62
1,1.13767E+12,0.688199997,1.13769E+12,0.688499987,2910,4.36E-04,1.50E-07,0.25,63
0,1.13769E+12,0.688499987,1.13773E+12,0.686800003,3372,0.002469113,7.32E-07,0.25,64
-1,1.13773E+12,0.686800003,1.13775E+12,0.684599996,2574,0.003203272,1.24E-06,0.25,65
0,1.13775E+12,0.684599996,1.13796E+12,0.68629998,20196,0.002483179,1.23E-07,0.25,66
1,1.13796E+12,0.68629998,1.13796E+12,0.68870002,312,0.003497072,1.12E-05,0.25,67
0,1.13796E+12,0.68870002,1.13796E+12,0.686999977,366,0.002468482,6.74E-06,0.25,68
-1,1.13796E+12,0.686999977,1.13797E+12,0.686600029,402,5.82E-04,1.45E-06,0.25,69
0,1.13797E+12,0.686600029,1.13797E+12,0.688199997,462,0.002330276,5.04E-06,0.25,70
1,1.13797E+12,0.688199997,1.13799E+12,0.689400017,2346,0.001743709,7.43E-07,0.25,71
0,1.13799E+12,0.689400017,1.13809E+12,0.687699974,9660,0.002465976,2.55E-07,0.25,72
-1,1.13809E+12,0.687699974,1.1381E+12,0.686800003,1284,0.001308667,1.02E-06,0.25,73
0,1.1381E+12,0.686800003,1.13813E+12,0.688499987,2676,0.002475224,9.25E-07,0.25,74
1,1.13813E+12,0.688499987,1.13816E+12,0.689100027,3108,8.72E-04,2.80E-07,0.25,75
0,1.13816E+12,0.689100027,1.13817E+12,0.687300026,300,0.002612104,8.71E-06,0.25,76
-1,1.13817E+12,0.687300026,1.13827E+12,0.685100019,10308,0.003200942,3.11E-07,0.25,77
0,1.13827E+12,0.685100019,1.13833E+12,0.686800003,6486,0.002481366,3.83E-07,0.25,78
1,1.13833E+12,0.686800003,1.13833E+12,0.687099993,6,4.37E-04,7.28E-05,0.25,79
0,1.13833E+12,0.687099993,1.13834E+12,0.685400009,852,0.002474144,2.90E-06,0.25,80
-1,1.13834E+12,0.685400009,1.13836E+12,0.683600008,1890,0.002626205,1.39E-06,0.25,81
0,1.13836E+12,0.683600008,1.13859E+12,0.685199976,22770,0.002340502,1.03E-07,0.25,82
1,1.13859E+12,0.685199976,1.13859E+12,0.68599999,210,0.001167562,5.56E-06,0.25,83
0,1.13859E+12,0.68599999,1.13861E+12,0.684300005,1794,0.002478111,1.38E-06,0.25,84
