event_type,start_time,start_price,end_time,end_price,duration,length,speed,theta,num
-1,1.13623E+12,0.687600017,1.13626E+12,0.685400009,3312,0.003199545,9.66E-07,0.5,1
0,1.13626E+12,0.685400009,1.13628E+12,0.688799977,1944,0.00496056,2.55E-06,0.5,2
1,1.13628E+12,0.688799977,1.13643E+12,0.690999985,15282,0.003193971,2.09E-07,0.5,3
0,1.13643E+12,0.690999985,1.13654E+12,0.6875,10752,0.005065101,4.71E-07,0.5,4
-1,1.13654E+12,0.6875,1.13688E+12,0.682600021,34062,0.007127242,2.09E-07,0.5,5
0,1.13688E+12,0.682600021,1.13695E+12,0.68629998,7194,0.00542039,7.53E-07,0.5,6
1,1.13695E+12,0.68629998,1.13697E+12,0.688600004,1668,0.003351339,2.01E-06,0.5,7
0,1.13697E+12,0.688600004,1.13705E+12,0.685100019,8142,0.005082754,6.24E-07,0.5,8
-1,1.13705E+12,0.685100019,1.13714E+12,0.681200027,9204,0.005692587,6.18E-07,0.5,9
0,1.13714E+12,0.681200027,1.13739E+12,0.684599996,24102,0.004991145,2.07E-07,0.5,10
1,1.13739E+12,0.684599996,1.13747E+12,0.687900007,8790,0.004820349,5.48E-07,0.5,11
0,1.13747E+12,0.687900007,1.1375E+12,0.684300005,2544,0.005233321,2.06E-06,0.5,12
-1,1.1375E+12,0.684300005,1.1375E+12,0.684300005,0,0,0,0.5,13
0,1.1375E+12,0.684300005,1.13764E+12,0.687600017,13914,0.004822463,3.47E-07,0.5,14
1,1.13764E+12,0.687600017,1.13764E+12,0.688899994,276,0.001890601,6.85E-06,0.5,15
0,1.13764E+12,0.688899994,1.13774E+12,0.685500026,10464,0.004935358,4.72E-07,0.5,16
-1,1.13774E+12,0.685500026,1.13775E+12,0.684599996,906,0.001312954,1.45E-06,0.5,17
0,1.13775E+12,0.684599996,1.13796E+12,0.6875,20490,0.004236057,2.07E-07,0.5,18
1,1.13796E+12,0.6875,1.13799E+12,0.689400017,3594,0.002763661,7.69E-07,0.5,19
0,1.13799E+12,0.689400017,1.13818E+12,0.685899973,18606,0.005076943,2.73E-07,0.5,20
-1,1.13818E+12,0.685899973,1.13887E+12,0.67869997,68970,0.010497161,1.52E-07,0.5,21
0,1.13887E+12,0.67869997,1.13896E+12,0.682099998,9408,0.005009618,5.32E-07,0.5,22
1,1.13896E+12,0.682099998,1.13946E+12,0.688799977,49494,0.009822576,1.98E-07,0.5,23
0,1.13946E+12,0.688799977,1.13955E+12,0.685400009,9048,0.004936075,5.46E-07,0.5,24
-1,1.13955E+12,0.685400009,1.13958E+12,0.682099998,3300,0.004814723,1.46E-06,0.5,25
0,1.13958E+12,0.682099998,1.13989E+12,0.685599983,30996,0.00513119,1.66E-07,0.5,26
1,1.13989E+12,0.685599983,1.13998E+12,0.687300026,8796,0.002479644,2.82E-07,0.5,27
0,1.13998E+12,0.687300026,1.13999E+12,0.683899999,954,0.004946934,5.19E-06,0.5,28
-1,1.13999E+12,0.683899999,1.14E+12,0.682299972,984,0.002339563,2.38E-06,0.5,29
0,1.14E+12,0.682299972,1.14007E+12,0.685699999,6558,0.004983186,7.60E-07,0.5,30
